"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2011","3.680","3.670","3.700","3.660","7.22M","-0.27%"
"Jul 08, 2011","3.690","3.720","3.760","3.670","10.04M","-0.81%"
"Jul 07, 2011","3.720","3.700","3.740","3.630","9.17M","1.09%"
"Jul 06, 2011","3.680","3.720","3.720","3.660","6.70M","-1.60%"
"Jul 05, 2011","3.740","3.750","3.790","3.730","8.35M","-0.53%"
"Jul 04, 2011","3.760","3.680","3.760","3.680","9.99M","2.45%"
"Jul 01, 2011","3.670","3.660","3.680","3.620","7.29M","0.55%"
"Jun 30, 2011","3.650","3.660","3.690","3.630","9.63M","0.27%"
"Jun 29, 2011","3.640","3.670","3.680","3.620","9.89M","-0.27%"
"Jun 28, 2011","3.650","3.530","3.650","3.530","19.89M","3.99%"
"Jun 27, 2011","3.510","3.490","3.520","3.480","7.79M","0.00%"
"Jun 24, 2011","3.510","3.470","3.530","3.470","14.89M","1.45%"
"Jun 23, 2011","3.460","3.350","3.470","3.350","14.92M","2.06%"
"Jun 22, 2011","3.390","3.510","3.530","3.380","9.96M","-4.24%"
"Jun 21, 2011","3.540","3.520","3.540","3.490","7.42M","0.85%"
"Jun 20, 2011","3.510","3.500","3.510","3.440","11.32M","-1.13%"
"Jun 17, 2011","3.550","3.480","3.560","3.470","10.95M","1.72%"
"Jun 16, 2011","3.490","3.420","3.510","3.400","14.25M","1.16%"
"Jun 15, 2011","3.450","3.540","3.540","3.410","19.12M","-2.54%"
"Jun 14, 2011","3.540","3.660","3.670","3.530","25.79M","-3.54%"
"Jun 13, 2011","3.670","3.660","3.710","3.610","21.41M","0.55%"
"Jun 10, 2011","3.650","3.630","3.680","3.630","17.60M","-0.27%"
"Jun 09, 2011","3.660","3.670","3.690","3.650","13.85M","-0.54%"
"Jun 08, 2011","3.680","3.690","3.720","3.660","17.04M","-1.34%"
"Jun 07, 2011","3.730","3.680","3.740","3.660","18.28M","1.63%"
"Jun 06, 2011","3.670","3.630","3.670","3.600","16.97M","1.38%"
"Jun 03, 2011","3.620","3.660","3.680","3.580","16.48M","-1.09%"
"Jun 02, 2011","3.660","3.640","3.670","3.580","18.12M","-0.54%"
"Jun 01, 2011","3.680","3.670","3.690","3.610","17.21M","0.00%"
"May 31, 2011","3.680","3.630","3.710","3.630","16.34M","2.22%"
"May 30, 2011","3.600","3.580","3.650","3.570","9.27M","0.84%"
"May 27, 2011","3.570","3.680","3.690","3.540","12.64M","-2.72%"
"May 26, 2011","3.670","3.670","3.720","3.660","12.16M","0.55%"
"May 25, 2011","3.650","3.690","3.760","3.640","17.98M","-2.14%"
"May 24, 2011","3.730","3.590","3.730","3.560","17.30M","3.90%"
"May 23, 2011","3.590","3.570","3.610","3.550","23.80M","-0.55%"
"May 20, 2011","3.610","3.690","3.700","3.560","23.39M","-1.90%"
"May 18, 2011","3.680","3.800","3.820","3.670","21.29M","-3.16%"
"May 17, 2011","3.800","3.870","3.880","3.770","20.99M","-1.81%"
"May 16, 2011","3.870","3.770","3.870","3.750","17.94M","2.11%"
"May 13, 2011","3.790","3.890","3.900","3.760","11.37M","-3.07%"
"May 12, 2011","3.910","3.800","3.920","3.800","14.52M","2.09%"
"May 11, 2011","3.830","3.880","3.890","3.820","22.29M","-0.52%"
"May 10, 2011","3.850","3.890","3.940","3.810","9.10M","-1.03%"
"May 09, 2011","3.890","3.980","3.980","3.860","17.64M","-2.02%"
"May 06, 2011","3.970","4.010","4.030","3.930","14.31M","-1.00%"
"May 05, 2011","4.010","4.030","4.050","4.000","14.41M","-0.74%"
"May 04, 2011","4.040","4.060","4.100","4.010","30.22M","-0.49%"
"May 03, 2011","4.060","3.990","4.060","3.960","25.21M","1.25%"
"May 02, 2011","4.010","4.030","4.040","3.990","14.96M","0.00%"
"Apr 29, 2011","4.010","3.960","4.010","3.930","13.62M","1.26%"
"Apr 28, 2011","3.960","3.950","3.980","3.900","13.32M","0.51%"
"Apr 27, 2011","3.940","4.000","4.000","3.910","13.51M","-1.25%"
"Apr 26, 2011","3.990","4.000","4.010","3.960","15.38M","-0.25%"
"Apr 25, 2011","4.000","3.990","4.010","3.970","3.62M","0.25%"
"Apr 22, 2011","3.990","4.000","4.010","3.970","3.10M","-0.25%"
"Apr 21, 2011","4.000","4.010","4.010","3.970","17.20M","-0.25%"
"Apr 20, 2011","4.010","4.010","4.030","3.990","12.56M","0.50%"
"Apr 19, 2011","3.990","3.950","3.990","3.940","18.19M","1.53%"
"Apr 18, 2011","3.930","4.060","4.060","3.900","17.04M","-2.96%"
"Apr 15, 2011","4.050","4.050","4.060","4.010","13.91M","0.25%"
"Apr 14, 2011","4.040","4.070","4.070","4.010","12.92M","-0.49%"
"Apr 13, 2011","4.060","4.030","4.100","4.010","27.17M","1.25%"
"Apr 12, 2011","4.010","3.980","4.040","3.980","15.84M","0.00%"
"Apr 11, 2011","4.010","4.030","4.060","4.010","10.27M","-0.50%"
"Apr 08, 2011","4.030","4.140","4.140","4.000","23.08M","-2.18%"
"Apr 07, 2011","4.120","4.100","4.150","4.050","44.28M","0.49%"
"Apr 06, 2011","4.100","4.070","4.140","4.060","31.81M","0.99%"
"Apr 05, 2011","4.060","4.070","4.120","4.040","25.37M","-0.25%"
"Apr 04, 2011","4.070","3.930","4.070","3.910","20.65M","4.09%"
"Apr 01, 2011","3.910","3.830","3.910","3.810","11.89M","2.09%"
"Mar 31, 2011","3.830","3.830","3.860","3.800","9.97M","0.52%"
"Mar 30, 2011","3.810","3.780","3.820","3.760","8.64M","1.60%"
"Mar 29, 2011","3.750","3.810","3.820","3.720","16.43M","-1.57%"
"Mar 28, 2011","3.810","3.840","3.850","3.790","11.59M","-0.78%"
"Mar 25, 2011","3.840","3.910","3.930","3.820","16.09M","-1.29%"
"Mar 24, 2011","3.890","3.790","3.900","3.790","18.62M","1.57%"
"Mar 23, 2011","3.830","3.960","4.010","3.820","34.69M","-3.28%"
"Mar 22, 2011","3.960","3.950","3.980","3.920","9.34M","0.25%"
"Mar 21, 2011","3.950","3.920","3.960","3.910","7.24M","0.77%"
"Mar 18, 2011","3.920","3.940","3.960","3.840","15.89M","0.26%"
"Mar 17, 2011","3.910","3.900","3.950","3.880","12.10M","0.26%"
"Mar 16, 2011","3.900","3.950","3.970","3.870","17.66M","-0.26%"
"Mar 15, 2011","3.910","3.890","3.910","3.790","25.27M","-0.51%"
"Mar 14, 2011","3.930","3.860","3.950","3.860","25.93M","1.55%"
"Mar 11, 2011","3.870","3.850","3.900","3.840","18.57M","-0.26%"
"Mar 10, 2011","3.880","3.780","3.910","3.770","23.03M","1.31%"
"Mar 09, 2011","3.830","3.730","3.840","3.730","20.08M","3.23%"
"Mar 08, 2011","3.710","3.650","3.730","3.650","19.11M","2.49%"
"Mar 07, 2011","3.620","3.660","3.670","3.580","21.17M","-2.43%"
"Mar 04, 2011","3.710","3.670","3.720","3.650","25.41M","1.37%"
"Mar 03, 2011","3.660","3.620","3.690","3.600","48.83M","2.81%"
"Mar 02, 2011","3.560","3.550","3.630","3.540","23.47M","-0.28%"
"Mar 01, 2011","3.570","3.860","3.880","3.570","26.84M","-7.03%"
"Feb 28, 2011","3.840","3.850","3.860","3.740","12.30M","-0.26%"
"Feb 25, 2011","3.850","3.860","3.890","3.820","19.58M","0.26%"
"Feb 24, 2011","3.840","3.930","3.930","3.750","20.69M","-2.78%"
"Feb 23, 2011","3.950","4.030","4.070","3.920","21.15M","-2.71%"
"Feb 22, 2011","4.060","4.040","4.060","3.980","19.92M","-0.49%"
"Feb 21, 2011","4.080","4.100","4.140","4.060","14.94M","-0.49%"
"Feb 18, 2011","4.100","4.090","4.160","4.090","20.74M","0.74%"
"Feb 17, 2011","4.070","4.060","4.090","4.010","25.58M","0.74%"
"Feb 16, 2011","4.040","4.010","4.080","3.980","26.19M","1.00%"
"Feb 15, 2011","4.000","3.940","4.040","3.930","22.51M","0.76%"
"Feb 14, 2011","3.970","4.030","4.030","3.950","15.36M","0.00%"
"Feb 11, 2011","3.970","3.910","3.980","3.900","21.65M","1.02%"
"Feb 10, 2011","3.930","3.970","3.980","3.920","22.93M","-1.75%"
"Feb 09, 2011","4.000","4.000","4.050","3.990","22.29M","0.00%"
"Feb 08, 2011","4.000","3.990","4.030","3.970","23.94M","0.50%"
"Feb 07, 2011","3.980","4.040","4.100","3.940","29.19M","-0.75%"
"Feb 04, 2011","4.010","3.880","4.030","3.850","27.35M","3.08%"
"Feb 03, 2011","3.890","4.010","4.040","3.850","30.09M","-2.99%"
"Feb 02, 2011","4.010","4.090","4.130","4.000","39.88M","-1.23%"
"Feb 01, 2011","4.060","3.950","4.070","3.940","21.90M","3.57%"
"Jan 31, 2011","3.920","3.790","3.940","3.770","22.30M","2.35%"
"Jan 28, 2011","3.830","3.840","3.840","3.740","20.45M","-0.78%"
"Jan 27, 2011","3.860","3.910","3.910","3.840","23.72M","-0.77%"
"Jan 26, 2011","3.890","3.860","3.900","3.820","27.44M","2.37%"
"Jan 25, 2011","3.800","3.820","3.840","3.780","21.67M","0.53%"
"Jan 24, 2011","3.780","3.910","3.910","3.740","31.91M","-2.83%"
"Jan 21, 2011","3.890","3.800","3.900","3.740","45.89M","2.64%"
"Jan 20, 2011","3.790","3.940","4.000","3.770","38.37M","-4.29%"
"Jan 19, 2011","3.960","3.990","4.010","3.910","30.98M","0.25%"
"Jan 18, 2011","3.950","4.060","4.100","3.940","37.86M","-2.23%"
"Jan 17, 2011","4.040","4.110","4.120","4.030","27.79M","-2.42%"
"Jan 14, 2011","4.140","4.270","4.270","4.100","44.24M","-2.82%"
"Jan 13, 2011","4.260","4.190","4.270","4.190","42.10M","2.16%"
"Jan 12, 2011","4.170","4.080","4.170","4.050","31.80M","2.71%"
"Jan 11, 2011","4.060","4.090","4.180","4.040","28.07M","-0.49%"
"Jan 10, 2011","4.080","4.140","4.180","4.030","44.12M","-1.92%"
"Jan 07, 2011","4.160","4.240","4.270","4.090","33.83M","-1.89%"
"Jan 06, 2011","4.240","4.180","4.280","4.170","36.52M","1.44%"
"Jan 05, 2011","4.180","4.080","4.200","4.010","36.75M","2.45%"
"Jan 04, 2011","4.080","4.050","4.100","4.050","27.04M","0.99%"
"Jan 03, 2011","4.040","3.890","4.050","3.890","26.60M","4.12%"
"Dec 31, 2010","3.880","3.920","3.930","3.860","5.80M","-0.51%"
"Dec 30, 2010","3.900","3.910","3.930","3.890","17.92M","-0.51%"
"Dec 29, 2010","3.920","3.960","3.990","3.910","17.74M","-0.76%"
"Dec 28, 2010","3.950","3.960","4.010","3.930","21.69M","-0.25%"
"Dec 27, 2010","3.960","3.970","3.980","3.870","15.82M","-0.50%"
"Dec 24, 2010","3.980","4.000","4.010","3.960","9.59M","-0.50%"
"Dec 23, 2010","4.000","3.970","4.010","3.920","27.21M","1.78%"
"Dec 22, 2010","3.930","3.860","3.940","3.840","32.51M","1.81%"
"Dec 21, 2010","3.860","3.810","3.860","3.790","35.81M","1.85%"
"Dec 20, 2010","3.790","3.740","3.800","3.680","60.83M","1.34%"
"Dec 17, 2010","3.740","3.910","3.950","3.690","68.43M","-3.36%"
"Dec 16, 2010","3.870","3.980","4.030","3.850","54.79M","-3.25%"
"Dec 15, 2010","4.000","4.050","4.060","3.980","35.65M","-1.96%"
"Dec 14, 2010","4.080","4.090","4.110","4.030","37.69M","0.00%"
"Dec 13, 2010","4.080","3.970","4.100","3.920","41.29M","3.29%"
"Dec 10, 2010","3.950","4.070","4.080","3.950","33.67M","-2.47%"
"Dec 09, 2010","4.050","4.240","4.250","4.000","40.99M","-3.80%"
"Dec 08, 2010","4.210","4.240","4.280","4.190","40.71M","-1.64%"
"Dec 07, 2010","4.280","4.280","4.330","4.270","27.67M","0.23%"
"Dec 06, 2010","4.270","4.220","4.280","4.220","20.85M","1.91%"
"Dec 03, 2010","4.190","4.180","4.320","4.160","52.24M","-0.24%"
"Dec 02, 2010","4.200","4.190","4.250","4.110","35.81M","1.20%"
"Dec 01, 2010","4.150","4.140","4.220","4.110","39.14M","0.48%"
"Nov 30, 2010","4.130","3.970","4.140","3.970","48.62M","2.48%"
"Nov 29, 2010","4.030","4.160","4.190","4.010","26.15M","-2.89%"
"Nov 26, 2010","4.150","4.160","4.190","4.120","27.57M","-1.19%"
"Nov 25, 2010","4.200","4.200","4.220","4.130","34.44M","-0.47%"
"Nov 24, 2010","4.220","4.120","4.250","4.030","38.38M","3.43%"
"Nov 23, 2010","4.080","4.030","4.180","4.030","29.76M","-1.21%"
"Nov 22, 2010","4.130","4.420","4.420","4.120","35.62M","-5.06%"
"Nov 15, 2010","4.350","4.370","4.370","4.300","5.23M","-0.68%"
"Nov 12, 2010","4.380","4.400","4.480","4.340","27.97M","-2.67%"
"Nov 11, 2010","4.500","4.670","4.670","4.490","25.81M","-2.81%"
"Nov 10, 2010","4.630","4.810","4.840","4.630","40.56M","-3.94%"
"Nov 09, 2010","4.820","4.690","4.820","4.690","44.90M","2.77%"
"Nov 08, 2010","4.690","4.660","4.720","4.660","10.91M","-0.42%"
"Nov 05, 2010","4.710","4.740","4.760","4.670","21.62M","0.00%"
"Nov 04, 2010","4.710","4.520","4.710","4.520","33.04M","4.90%"
"Nov 03, 2010","4.490","4.480","4.510","4.450","17.59M","0.45%"
"Nov 02, 2010","4.470","4.570","4.610","4.440","28.07M","-1.54%"
"Nov 01, 2010","4.540","4.620","4.670","4.530","20.58M","-1.30%"
"Oct 28, 2010","4.600","4.660","4.660","4.520","11.37M","-1.29%"
"Oct 27, 2010","4.660","4.780","4.800","4.580","16.32M","-2.92%"
"Oct 26, 2010","4.800","4.800","4.860","4.780","9.46M","-0.41%"
"Oct 25, 2010","4.820","4.800","4.860","4.780","11.01M","1.26%"
"Oct 22, 2010","4.760","4.660","4.760","4.620","24.51M","1.71%"
"Oct 21, 2010","4.680","4.700","4.740","4.580","23.11M","-0.43%"
"Oct 20, 2010","4.700","4.840","4.920","4.700","22.70M","-2.89%"
"Oct 19, 2010","4.840","5.010","5.060","4.820","20.23M","-3.39%"
"Oct 18, 2010","5.010","4.960","5.060","4.940","17.85M","0.20%"
"Oct 15, 2010","5.000","4.960","5.040","4.820","25.40M","0.81%"
"Oct 14, 2010","4.960","5.040","5.120","4.860","20.65M","-0.80%"
"Oct 13, 2010","5.000","4.820","5.060","4.820","23.82M","4.60%"
"Oct 12, 2010","4.780","4.660","4.840","4.640","27.30M","1.27%"
"Oct 11, 2010","4.720","4.560","4.760","4.500","32.84M","3.96%"
"Oct 08, 2010","4.540","4.460","4.560","4.440","11.59M","1.79%"
"Oct 07, 2010","4.460","4.520","4.540","4.440","16.94M","-1.33%"
"Oct 06, 2010","4.520","4.440","4.600","4.440","19.40M","2.73%"
